CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR27-JAN-2017PE65,.0025,0,0,0,,0,.0025,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65.5,.0025,0,0,0,,.0025,0,502,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65.75,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE66,.005,.005,.005,.005,.005,.005,0,10398,4612,4612,,304415060,23060
OPTCURUSDINR27-JAN-2017PE66.25,.01,0,0,0,,.0075,.0025,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE66.5,.0075,.0125,.0125,.005,.0075,.0075,0,8822,884,884,,58793340,7340
OPTCURUSDINR27-JAN-2017PE66.75,.015,.0075,.0075,.0075,.0075,.0075,.0075,7950,7950,7950,,530722125,59625
OPTCURUSDINR27-JAN-2017PE67,.025,.0275,.0325,.0175,.02,.02,.005,53382,27872,27872,,1868119157.5,695157.5
OPTCURUSDINR27-JAN-2017PE67.25,.05,.0575,.0675,.035,.04,.04,.01,36521,18460,18460,,1242361555,926555
OPTCURUSDINR27-JAN-2017PE67.5,.0925,.11,.13,.0725,.0825,.0825,.01,240418,92121,92121,,6227555652.5,9388152.5
OPTCURUSDINR27-JAN-2017PE67.75,.1625,.2025,.2225,.135,.1525,.1525,.01,71316,53442,53442,,3629893462.5,9197962.5
OPTCURUSDINR27-JAN-2017PE68,.2775,.315,.355,.2325,.2575,.2575,.02,266799,143855,143855,,9823637795,41497795
OPTCURUSDINR27-JAN-2017PE68.25,.4175,.495,.5125,.36,.3975,.3975,.02,41431,7343,7343,,504336607.5,3176857.5
OPTCURUSDINR27-JAN-2017PE68.5,.585,.6975,.7,.5225,.5725,.5725,.0125,135907,11640,11640,,804320262.5,6980262.5
OPTCURUSDINR27-JAN-2017PE68.75,.7775,.8475,.86,.8475,.86,.86,.0825,1381,265,265,,18446462.5,227712.5
OPTCURUSDINR27-JAN-2017PE69,.98,1.0875,1.125,.915,.96,.96,.02,128885,7439,7439,,520414697.5,7123697.5
OPTCURUSDINR27-JAN-2017PE69.25,1.3,1.15,1.185,1.095,1.095,1.095,.205,11,8,8,,563280,9280
OPTCURUSDINR27-JAN-2017PE69.5,1.41,1.4,1.4,1.4,1.4,1.4,.01,709,500,500,,35450000,700000
OPTCURUSDINR27-JAN-2017PE69.75,1.645,0,0,0,,1.63,.015,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE70,2.05,0,0,0,,1.8725,.1775,165,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE70.25,2.1325,0,0,0,,2.1175,.015,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE70.5,2.3775,0,0,0,,2.365,.0125,3,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE70.75,2.6275,0,0,0,,2.6125,.015,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE71,2.875,0,0,0,,2.8625,.0125,176,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE71.25,3.125,0,0,0,,3.1125,.0125,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE71.5,3.375,0,0,0,,3.36,.015,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE71.75,3.6225,0,0,0,,3.61,.0125,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE65,4.38,0,0,0,,4.3975,.0175,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE65.25,4.1475,0,0,0,,4.165,.0175,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE65.5,3.92,0,0,0,,3.935,.015,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE65.75,3.695,0,0,0,,3.7075,.0125,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE66,3.4725,0,0,0,,3.4825,.01,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE66.25,3.255,0,0,0,,3.265,.01,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE66.5,3.0425,0,0,0,,3.05,.0075,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE66.75,2.835,0,0,0,,2.84,.005,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE67,2.635,0,0,0,,2.635,0,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE67.25,2.44,0,0,0,,2.4375,.0025,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE67.5,2.25,0,0,0,,2.245,.005,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE67.75,2.0675,0,0,0,,2.065,.0025,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE68,1.895,0,0,0,,1.885,.01,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE68.25,1.73,0,0,0,,1.7175,.0125,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE68.5,1.5725,0,0,0,,1.5575,.015,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE68.75,1.4225,0,0,0,,1.4075,.015,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE69,1.2825,0,0,0,,1.265,.0175,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE69.25,1.1525,0,0,0,,1.1325,.02,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE69.5,1.03,0,0,0,,1.01,.02,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE69.75,.9175,0,0,0,,.895,.0225,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE70,.8125,0,0,0,,.79,.0225,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE70.25,.7175,0,0,0,,.695,.0225,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE70.5,.63,0,0,0,,.6075,.0225,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE70.75,.55,0,0,0,,.5275,.0225,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE71,.4775,0,0,0,,.4575,.02,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE71.25,.4175,0,0,0,,.3975,.02,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE65,.0525,0,0,0,,.0425,.01,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE65.25,.065,0,0,0,,.055,.01,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE65.5,.0825,0,0,0,,.07,.0125,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE65.75,.1025,0,0,0,,.0875,.015,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE66,.125,0,0,0,,.1075,.0175,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE66.25,.1525,0,0,0,,.1325,.02,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE66.5,.185,0,0,0,,.1625,.0225,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE66.75,.2225,0,0,0,,.1975,.025,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE67,.265,0,0,0,,.2375,.0275,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE67.25,.315,0,0,0,,.285,.03,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE67.5,.37,0,0,0,,.3375,.0325,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE67.75,.4325,0,0,0,,.4,.0325,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE68,.505,0,0,0,,.4675,.0375,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE68.25,.5825,0,0,0,,.5425,.04,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE68.5,.67,0,0,0,,.6275,.0425,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE68.75,.7675,0,0,0,,.7225,.045,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE69,.8725,0,0,0,,.825,.0475,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE69.25,.985,0,0,0,,.9375,.0475,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE69.5,1.1075,0,0,0,,1.0575,.05,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE69.75,1.24,0,0,0,,1.19,.05,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE70,1.38,0,0,0,,1.33,.05,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE70.25,1.53,0,0,0,,1.4775,.0525,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE70.5,1.6875,0,0,0,,1.635,.0525,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE70.75,1.8525,0,0,0,,1.8,.0525,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE71,2.025,0,0,0,,1.975,.05,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017PE71.25,2.2075,0,0,0,,2.1575,.05,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE63.5,5.115,0,0,0,,5.1375,.0225,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE63.75,4.8675,0,0,0,,4.89,.0225,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE64,4.6225,0,0,0,,4.6425,.02,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE64.25,4.375,0,0,0,,4.3975,.0225,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE64.5,4.13,0,0,0,,4.15,.02,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE64.75,3.885,0,0,0,,3.9075,.0225,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE65,3.6425,0,0,0,,3.6625,.02,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE65.25,3.4025,0,0,0,,3.42,.0175,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE65.5,3.165,0,0,0,,3.18,.015,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE65.75,2.93,0,0,0,,2.945,.015,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE66,2.6975,0,0,0,,2.71,.0125,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE66.25,2.4725,0,0,0,,2.4825,.01,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE66.5,2.25,0,0,0,,2.26,.01,0,0,0,,0,0
OPTCURUSDINR29-MAR-2017CE66.75,2.0375,0,0,0,,2.0425,.005,0,0,0,,0,0
