INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,25/01/2017,00009600.00,PE      ,00001310.00,00001320.00,00001310.00,00001320.00,000000000007050,              300,              004,              002,        3274500.00,         394500.00
OPTIDX    ,NIFTY     ,25/01/2017,00010000.00,CE      ,00000000.55,00000000.55,00000000.35,00000000.45,000000000355050,           534525,             7127,             5672,     5345475682.50,         225682.50
OPTIDX    ,NIFTY     ,25/01/2017,00010000.00,PE      ,00001694.55,00001727.90,00001662.00,00001715.75,000000000783750,            21075,              281,              194,      246312765.00,       35562765.00
OPTIDX    ,NIFTY     ,25/01/2017,00010100.00,CE      ,00000001.00,00000001.00,00000001.00,00000001.00,000000000001875,              075,              001,              001,         757575.00,             75.00
OPTIDX    ,NIFTY     ,25/01/2017,00010100.00,PE      ,00001804.25,00001804.25,00001804.25,00001804.25,000000000003225,              075,              001,              001,         892818.75,         135318.75
OPTIDX    ,NIFTY     ,23/02/2017,00006500.00,CE      ,00001793.00,00001793.00,00001793.00,00001793.00,000000000000375,              075,              001,              001,         621975.00,         134475.00
OPTIDX    ,NIFTY     ,23/02/2017,00007000.00,CE      ,00001322.35,00001322.35,00001277.00,00001279.60,000000000013350,              825,              011,              010,        6853057.50,        1078057.50
OPTIDX    ,NIFTY     ,23/02/2017,00007000.00,PE      ,00000004.30,00000006.05,00000004.30,00000006.05,000000000107550,            20250,              270,              075,      141867667.50,         117667.50
OPTIDX    ,NIFTY     ,23/02/2017,00007100.00,PE      ,00000004.15,00000007.30,00000004.15,00000006.75,000000000089025,             1650,              022,              019,       11725065.00,          10065.00
OPTIDX    ,NIFTY     ,23/02/2017,00007200.00,PE      ,00000007.05,00000008.70,00000006.45,00000008.60,000000000157575,            48150,              642,              238,      347058491.25,         378491.25
OPTIDX    ,NIFTY     ,23/02/2017,00007300.00,PE      ,00000009.10,00000011.70,00000008.10,00000010.70,000000000156375,            36000,              480,              204,      263149860.00,         349860.00
OPTIDX    ,NIFTY     ,23/02/2017,00007400.00,PE      ,00000013.00,00000014.40,00000011.10,00000014.00,000000000186075,           136800,             1824,              736,     1014018078.75,        1698078.75
OPTIDX    ,NIFTY     ,23/02/2017,00007500.00,CE      ,00000853.00,00000853.00,00000807.00,00000815.75,000000000023400,            10575,              141,              083,       88022591.25,        8710091.25
OPTIDX    ,NIFTY     ,23/02/2017,00007500.00,PE      ,00000017.00,00000019.30,00000015.00,00000018.70,000000000875700,           297450,             3966,             1765,     2235977347.50,        5102347.50
OPTIDX    ,NIFTY     ,23/02/2017,00007600.00,PE      ,00000021.45,00000025.40,00000019.25,00000024.45,000000000541800,           259725,             3463,             1225,     1979564201.25,        5654201.25
OPTIDX    ,NIFTY     ,23/02/2017,00007700.00,CE      ,00000640.00,00000640.00,00000615.00,00000615.00,000000000011025,              150,              002,              002,        1249125.00,          94125.00
OPTIDX    ,NIFTY     ,23/02/2017,00007700.00,PE      ,00000028.95,00000033.30,00000025.30,00000031.95,000000000655800,           306900,             4092,             1780,     2372007555.00,        8877555.00
OPTIDX    ,NIFTY     ,23/02/2017,00007800.00,CE      ,00000569.90,00000582.35,00000525.00,00000525.00,000000000019950,             3675,              049,              033,       30694687.50,        2029687.50
OPTIDX    ,NIFTY     ,23/02/2017,00007800.00,PE      ,00000038.85,00000044.40,00000034.80,00000042.85,000000000535800,           373575,             4981,             2184,     2928640091.25,       14755091.25
OPTIDX    ,NIFTY     ,23/02/2017,00007900.00,CE      ,00000457.95,00000495.00,00000442.45,00000444.75,000000000045975,             3000,              040,              031,       25103227.50,        1403227.50
OPTIDX    ,NIFTY     ,23/02/2017,00007900.00,PE      ,00000054.00,00000059.60,00000047.20,00000057.75,000000000583500,           436575,             5821,             2640,     3471771832.50,       22829332.50
OPTIDX    ,NIFTY     ,23/02/2017,00008000.00,CE      ,00000397.50,00000410.50,00000357.90,00000363.25,000000000336375,            66150,              882,              393,      554594643.75,       25394643.75
OPTIDX    ,NIFTY     ,23/02/2017,00008000.00,PE      ,00000070.05,00000079.35,00000064.00,00000076.55,000000001282050,           508050,             6774,             3544,     4100463225.00,       36063225.00
OPTIDX    ,NIFTY     ,23/02/2017,00008100.00,CE      ,00000316.50,00000333.90,00000285.50,00000292.90,000000000458550,            73050,              974,              511,      613977408.75,       22272408.75
OPTIDX    ,NIFTY     ,23/02/2017,00008100.00,PE      ,00000095.25,00000105.15,00000084.80,00000102.30,000000000481950,           406425,             5419,             2824,     3330699105.00,       38656605.00
OPTIDX    ,NIFTY     ,23/02/2017,00008200.00,CE      ,00000249.90,00000263.60,00000220.00,00000225.80,000000000872625,           187350,             2498,             1556,     1580973945.00,       44703945.00
OPTIDX    ,NIFTY     ,23/02/2017,00008200.00,PE      ,00000125.10,00000137.75,00000110.35,00000133.65,000000000392775,           453075,             6041,             3038,     3771442815.00,       56227815.00
OPTIDX    ,NIFTY     ,23/02/2017,00008300.00,CE      ,00000192.00,00000200.70,00000163.75,00000167.95,000000001001700,           209850,             2798,             1795,     1779818066.25,       38063066.25
OPTIDX    ,NIFTY     ,23/02/2017,00008300.00,PE      ,00000157.20,00000177.00,00000144.40,00000172.55,000000000222900,           300375,             4005,             2546,     2541024716.25,       47912216.25
OPTIDX    ,NIFTY     ,23/02/2017,00008400.00,CE      ,00000140.75,00000147.05,00000116.70,00000120.30,000000000719325,           199350,             2658,             1817,     1700889708.75,       26349708.75
OPTIDX    ,NIFTY     ,23/02/2017,00008400.00,PE      ,00000203.00,00000226.50,00000185.75,00000219.85,000000000260775,            91200,             1216,             1020,      784902255.00,       18822255.00
OPTIDX    ,NIFTY     ,23/02/2017,00008500.00,CE      ,00000096.00,00000103.25,00000079.15,00000082.75,000000001495200,           404250,             5390,             3178,     3472853208.75,       36728208.75
OPTIDX    ,NIFTY     ,23/02/2017,00008500.00,PE      ,00000259.85,00000283.70,00000239.50,00000278.10,000000000294450,            63600,              848,              625,      557165456.25,       16565456.25
OPTIDX    ,NIFTY     ,23/02/2017,00008600.00,CE      ,00000062.95,00000067.35,00000049.80,00000051.85,000000000880800,           350400,             4672,             2586,     3034068303.75,       20628303.75
OPTIDX    ,NIFTY     ,23/02/2017,00008600.00,PE      ,00000316.85,00000351.00,00000299.00,00000344.20,000000000158100,            76650,             1022,              573,      684269261.25,       25079261.25
OPTIDX    ,NIFTY     ,23/02/2017,00008700.00,CE      ,00000039.25,00000042.00,00000030.00,00000031.30,000000000718200,           386100,             5148,             2467,     3372876288.75,       13806288.75
OPTIDX    ,NIFTY     ,23/02/2017,00008700.00,PE      ,00000393.50,00000426.95,00000374.00,00000420.50,000000000156600,            63525,              847,              451,      578294280.00,       25626780.00
OPTIDX    ,NIFTY     ,23/02/2017,00008800.00,CE      ,00000022.90,00000024.95,00000016.35,00000017.40,000000000667800,           452475,             6033,             2793,     3990973035.00,        9193035.00
OPTIDX    ,NIFTY     ,23/02/2017,00008800.00,PE      ,00000461.00,00000510.80,00000455.00,00000506.05,000000000212925,            30675,              409,              242,      284910757.50,       14970757.50
OPTIDX    ,NIFTY     ,23/02/2017,00008900.00,CE      ,00000008.00,00000013.90,00000008.00,00000009.45,000000000319875,           259125,             3455,             1794,     2309066512.50,        2854012.50
OPTIDX    ,NIFTY     ,23/02/2017,00008900.00,PE      ,00000564.00,00000602.00,00000563.00,00000595.55,000000000343800,           115725,             1543,              468,     1097777400.00,       67824900.00
OPTIDX    ,NIFTY     ,23/02/2017,00009000.00,CE      ,00000012.25,00000015.00,00000002.65,00000005.95,000000000734025,           249375,             3325,             1640,     2246160513.75,        1785513.75
OPTIDX    ,NIFTY     ,23/02/2017,00009000.00,PE      ,00000658.00,00000702.00,00000643.50,00000692.70,000000000274200,           124500,             1660,              530,     1204907013.75,       84407013.75
OPTIDX    ,NIFTY     ,23/02/2017,00009100.00,CE      ,00000006.00,00000006.00,00000004.80,00000004.80,000000000043950,             2025,              027,              014,       18437692.50,          10192.50
OPTIDX    ,NIFTY     ,23/02/2017,00009100.00,PE      ,00000764.50,00000780.00,00000764.50,00000780.00,000000000001200,             1200,              016,              004,       11845200.00,         925200.00
OPTIDX    ,NIFTY     ,30/03/2017,00005100.00,CE      ,00003166.85,00003166.85,00003166.85,00003166.85,000000000090900,              075,              001,              001,         620013.75,         237513.75
OPTIDX    ,NIFTY     ,30/03/2017,00005500.00,PE      ,00000001.00,00000001.00,00000001.00,00000001.00,000000000000075,              075,              001,              001,         412575.00,             75.00
OPTIDX    ,NIFTY     ,30/03/2017,00006000.00,CE      ,00002332.00,00002332.00,00002296.00,00002296.00,000000000152850,              675,              009,              007,        5612902.50,        1562902.50
OPTIDX    ,NIFTY     ,30/03/2017,00006000.00,PE      ,00000002.05,00000002.90,00000002.05,00000002.30,000000000021300,             1275,              017,              008,        7653480.00,           3480.00
OPTIDX    ,NIFTY     ,30/03/2017,00007000.00,PE      ,00000014.40,00000015.30,00000014.00,00000014.75,000000000069225,            26625,              355,              126,      186760545.00,         385545.00
OPTIDX    ,NIFTY     ,30/03/2017,00007200.00,PE      ,00000013.25,00000020.00,00000013.25,00000020.00,000000000004350,             4650,              062,              019,       33572448.75,          92448.75
OPTIDX    ,NIFTY     ,30/03/2017,00007300.00,PE      ,00000021.00,00000024.05,00000021.00,00000023.50,000000000011925,             9075,              121,              055,       66457803.75,         210303.75
OPTIDX    ,NIFTY     ,30/03/2017,00007400.00,PE      ,00000027.55,00000030.00,00000026.10,00000028.65,000000000041850,             5400,              072,              059,       40112786.25,         152786.25
OPTIDX    ,NIFTY     ,30/03/2017,00007500.00,PE      ,00000036.00,00000038.60,00000033.05,00000037.10,000000000434700,            59550,              794,              341,      448736928.75,        2111928.75
OPTIDX    ,NIFTY     ,30/03/2017,00007600.00,PE      ,00000043.05,00000046.70,00000041.00,00000046.05,000000000081825,            15300,              204,              113,      116949157.50,         669157.50
OPTIDX    ,NIFTY     ,30/03/2017,00007700.00,PE      ,00000056.50,00000056.95,00000050.25,00000055.15,000000000201075,            54375,              725,              313,      421602262.50,        2914762.50
OPTIDX    ,NIFTY     ,30/03/2017,00007800.00,PE      ,00000070.60,00000071.80,00000064.50,00000069.35,000000000151050,            69300,              924,              371,      545250603.75,        4710603.75
OPTIDX    ,NIFTY     ,30/03/2017,00007900.00,CE      ,00000526.60,00000540.00,00000504.35,00000504.35,000000000002925,              975,              013,              010,        8216981.25,         514481.25
OPTIDX    ,NIFTY     ,30/03/2017,00007900.00,PE      ,00000087.60,00000094.60,00000081.00,00000086.80,000000000061575,            40050,              534,              271,      319785870.00,        3390870.00
OPTIDX    ,NIFTY     ,30/03/2017,00008000.00,CE      ,00000461.00,00000471.60,00000415.40,00000423.00,000000000167625,            25950,              346,              202,      218954070.00,       11354070.00
OPTIDX    ,NIFTY     ,30/03/2017,00008000.00,PE      ,00000110.05,00000112.00,00000100.85,00000110.10,000000000397875,            69225,              923,              625,      561193196.25,        7393196.25
OPTIDX    ,NIFTY     ,30/03/2017,00008100.00,CE      ,00000384.85,00000386.05,00000348.95,00000355.45,000000000085575,            18975,              253,              055,      160496283.75,        6798783.75
OPTIDX    ,NIFTY     ,30/03/2017,00008100.00,PE      ,00000136.00,00000140.00,00000126.00,00000137.50,000000000126750,            44100,              588,              332,      363057150.00,        5847150.00
OPTIDX    ,NIFTY     ,30/03/2017,00008200.00,CE      ,00000323.00,00000324.50,00000285.00,00000290.45,000000000086175,             6825,              091,              068,       58010936.25,        2045936.25
OPTIDX    ,NIFTY     ,30/03/2017,00008200.00,PE      ,00000170.00,00000175.00,00000153.50,00000172.00,000000000087750,            58575,              781,              374,      489896265.00,        9581265.00
OPTIDX    ,NIFTY     ,30/03/2017,00008300.00,CE      ,00000266.90,00000271.15,00000226.00,00000230.55,000000000221775,            19875,              265,              199,      169830727.50,        4868227.50
OPTIDX    ,NIFTY     ,30/03/2017,00008300.00,PE      ,00000209.00,00000213.50,00000189.60,00000210.85,000000000075000,            34650,              462,              302,      294578763.75,        6983763.75
OPTIDX    ,NIFTY     ,30/03/2017,00008400.00,CE      ,00000209.10,00000215.00,00000177.55,00000180.80,000000000068175,            16275,              217,              137,      139898715.00,        3188715.00
OPTIDX    ,NIFTY     ,30/03/2017,00008400.00,PE      ,00000240.00,00000254.00,00000240.00,00000253.45,000000000003750,             1050,              014,              014,        9081472.50,         261472.50
OPTIDX    ,NIFTY     ,30/03/2017,00008500.00,CE      ,00000157.80,00000166.70,00000136.00,00000138.80,000000000471000,            83700,             1116,              530,      724012751.25,       12562751.25
OPTIDX    ,NIFTY     ,30/03/2017,00008500.00,PE      ,00000292.00,00000310.10,00000286.00,00000307.70,000000000220425,             5250,              070,              048,       46182956.25,        1557956.25
