INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,IOC       ,30/03/2017,00000340.00,00000340.00,00000338.20,00000338.20,000000000012000,        2034600.00,             6000,              002,              002
FUTSTK    ,IRB       ,25/01/2017,00000207.75,00000208.50,00000205.50,00000207.50,000000008607500,      641173625.00,          3095000,             1238,             1166
FUTSTK    ,IRB       ,23/02/2017,00000207.95,00000208.65,00000206.50,00000207.75,000000000115000,       11951375.00,            57500,              023,              023
FUTSTK    ,ITC       ,25/01/2017,00000242.40,00000246.90,00000240.60,00000245.75,000000040130400,     2329305720.00,          9561600,             3984,             3663
FUTSTK    ,ITC       ,23/02/2017,00000242.00,00000247.40,00000241.40,00000246.45,000000000547200,      132330960.00,           542400,              226,              147
FUTSTK    ,JETAIRWAYS,25/01/2017,00000367.50,00000374.30,00000365.20,00000371.90,000000005669000,     1180917450.00,          3188000,             3188,             2873
FUTSTK    ,JETAIRWAYS,23/02/2017,00000368.70,00000374.10,00000368.70,00000371.25,000000000059000,       10758000.00,            29000,              029,              029
FUTSTK    ,JINDALSTEL,25/01/2017,00000070.45,00000072.05,00000070.30,00000071.60,000000049464000,      665995500.00,          9333000,             1037,              958
FUTSTK    ,JINDALSTEL,23/02/2017,00000072.00,00000072.25,00000070.90,00000071.90,000000000297000,        4524750.00,            63000,              007,              007
FUTSTK    ,JISLJALEQS,25/01/2017,00000092.35,00000095.60,00000092.10,00000093.30,000000039528000,     3025867500.00,         32211000,             3579,             3448
FUTSTK    ,JISLJALEQS,23/02/2017,00000093.00,00000095.70,00000093.00,00000093.75,000000000315000,       19529100.00,           207000,              023,              023
FUTSTK    ,JPASSOCIAT,25/01/2017,00000008.30,00000009.95,00000008.30,00000009.85,000000127432000,     2001576600.00,        216648000,             3186,             2791
FUTSTK    ,JPASSOCIAT,23/02/2017,00000008.20,00000009.95,00000008.15,00000009.85,000000019924000,      293022200.00,         32504000,              478,              450
FUTSTK    ,JPASSOCIAT,30/03/2017,00000009.35,00000009.35,00000009.35,00000009.35,000000000136000,        1863200.00,           204000,              003,              003
FUTSTK    ,JSWENERGY ,25/01/2017,00000061.10,00000061.65,00000060.55,00000061.35,000000034112000,      160536000.00,          2624000,              328,              323
FUTSTK    ,JSWENERGY ,23/02/2017,00000061.25,00000061.40,00000061.25,00000061.40,000000000104000,         981200.00,            16000,              002,              002
FUTSTK    ,JSWSTEEL  ,25/01/2017,00000164.20,00000166.80,00000160.25,00000163.15,000000051330000,      924032400.00,          5640000,             1880,             1741
FUTSTK    ,JSWSTEEL  ,23/02/2017,00000167.55,00000167.95,00000161.25,00000163.55,000000000279000,        9860700.00,            60000,              020,              019
FUTSTK    ,JSWSTEEL  ,30/03/2017,00000169.85,00000169.85,00000169.85,00000169.85,000000000003000,         509550.00,             3000,              001,              001
FUTSTK    ,JUBLFOOD  ,25/01/2017,00000856.90,00000858.80,00000836.80,00000849.70,000000002299000,      752093250.00,           887000,             1774,             1681
FUTSTK    ,JUBLFOOD  ,23/02/2017,00000851.00,00000851.00,00000834.15,00000844.30,000000000048000,       15979075.00,            19000,              038,              038
FUTSTK    ,JUSTDIAL  ,25/01/2017,00000347.65,00000348.95,00000339.85,00000342.95,000000003956400,      553715280.00,          1614000,             1345,             1297
FUTSTK    ,JUSTDIAL  ,23/02/2017,00000342.00,00000342.25,00000335.50,00000338.45,000000000214800,       29605860.00,            87600,              073,              073
