DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
13-JAN-2017,FUTSTK,BRITANNIA,30-MAR-2017,2981.00
13-JAN-2017,FUTSTK,CADILAHC,25-JAN-2017,351.10
13-JAN-2017,FUTSTK,CADILAHC,23-FEB-2017,352.30
13-JAN-2017,FUTSTK,CADILAHC,30-MAR-2017,354.75
13-JAN-2017,FUTSTK,CAIRN,25-JAN-2017,264.95
13-JAN-2017,FUTSTK,CAIRN,23-FEB-2017,264.90
13-JAN-2017,FUTSTK,CAIRN,30-MAR-2017,267.80
13-JAN-2017,FUTSTK,CANBK,25-JAN-2017,273.95
13-JAN-2017,FUTSTK,CANBK,23-FEB-2017,271.50
13-JAN-2017,FUTSTK,CANBK,30-MAR-2017,279.95
13-JAN-2017,FUTSTK,CASTROLIND,25-JAN-2017,396.00
13-JAN-2017,FUTSTK,CASTROLIND,23-FEB-2017,397.75
13-JAN-2017,FUTSTK,CASTROLIND,30-MAR-2017,401.20
13-JAN-2017,FUTSTK,CEATLTD,25-JAN-2017,1195.00
13-JAN-2017,FUTSTK,CEATLTD,23-FEB-2017,1190.95
13-JAN-2017,FUTSTK,CEATLTD,30-MAR-2017,1217.65
13-JAN-2017,FUTSTK,CENTURYTEX,25-JAN-2017,803.80
13-JAN-2017,FUTSTK,CENTURYTEX,23-FEB-2017,809.75
13-JAN-2017,FUTSTK,CENTURYTEX,30-MAR-2017,815.20
13-JAN-2017,FUTSTK,CESC,25-JAN-2017,676.70
13-JAN-2017,FUTSTK,CESC,23-FEB-2017,679.50
13-JAN-2017,FUTSTK,CESC,30-MAR-2017,683.80
13-JAN-2017,FUTSTK,CIPLA,25-JAN-2017,585.05
13-JAN-2017,FUTSTK,CIPLA,23-FEB-2017,587.55
13-JAN-2017,FUTSTK,CIPLA,30-MAR-2017,591.55
13-JAN-2017,FUTSTK,COALINDIA,25-JAN-2017,311.65
13-JAN-2017,FUTSTK,COALINDIA,23-FEB-2017,300.55
13-JAN-2017,FUTSTK,COALINDIA,30-MAR-2017,296.25
13-JAN-2017,FUTSTK,COLPAL,25-JAN-2017,901.55
13-JAN-2017,FUTSTK,COLPAL,23-FEB-2017,904.00
13-JAN-2017,FUTSTK,COLPAL,30-MAR-2017,911.90
13-JAN-2017,FUTSTK,CONCOR,25-JAN-2017,1206.20
13-JAN-2017,FUTSTK,CONCOR,23-FEB-2017,1193.00
13-JAN-2017,FUTSTK,CONCOR,30-MAR-2017,1179.50
13-JAN-2017,FUTSTK,CROMPGREAV,25-JAN-2017,64.55
13-JAN-2017,FUTSTK,CROMPGREAV,23-FEB-2017,64.55
13-JAN-2017,FUTSTK,CROMPGREAV,30-MAR-2017,65.25
13-JAN-2017,FUTSTK,CUMMINSIND,25-JAN-2017,849.05
13-JAN-2017,FUTSTK,CUMMINSIND,23-FEB-2017,858.90
13-JAN-2017,FUTSTK,CUMMINSIND,30-MAR-2017,864.40
13-JAN-2017,FUTSTK,DABUR,25-JAN-2017,281.75
13-JAN-2017,FUTSTK,DABUR,23-FEB-2017,283.80
13-JAN-2017,FUTSTK,DABUR,30-MAR-2017,285.60
13-JAN-2017,FUTSTK,DCBBANK,25-JAN-2017,124.40
13-JAN-2017,FUTSTK,DCBBANK,23-FEB-2017,124.85
13-JAN-2017,FUTSTK,DCBBANK,30-MAR-2017,125.65
13-JAN-2017,FUTSTK,DHFL,25-JAN-2017,271.70
13-JAN-2017,FUTSTK,DHFL,23-FEB-2017,272.80
13-JAN-2017,FUTSTK,DHFL,30-MAR-2017,274.45
13-JAN-2017,FUTSTK,DISHTV,25-JAN-2017,88.00
13-JAN-2017,FUTSTK,DISHTV,23-FEB-2017,88.20
13-JAN-2017,FUTSTK,DISHTV,30-MAR-2017,89.05
13-JAN-2017,FUTSTK,DIVISLAB,25-JAN-2017,746.30
13-JAN-2017,FUTSTK,DIVISLAB,23-FEB-2017,749.65
13-JAN-2017,FUTSTK,DIVISLAB,30-MAR-2017,756.60
13-JAN-2017,FUTSTK,DLF,25-JAN-2017,124.45
13-JAN-2017,FUTSTK,DLF,23-FEB-2017,124.35
13-JAN-2017,FUTSTK,DLF,30-MAR-2017,124.15
13-JAN-2017,FUTSTK,DRREDDY,25-JAN-2017,2991.45
13-JAN-2017,FUTSTK,DRREDDY,23-FEB-2017,3004.15
13-JAN-2017,FUTSTK,DRREDDY,30-MAR-2017,3021.30
13-JAN-2017,FUTSTK,EICHERMOT,25-JAN-2017,22875.60
13-JAN-2017,FUTSTK,EICHERMOT,23-FEB-2017,22970.50
13-JAN-2017,FUTSTK,EICHERMOT,30-MAR-2017,23111.40
13-JAN-2017,FUTSTK,ENGINERSIN,25-JAN-2017,154.85
13-JAN-2017,FUTSTK,ENGINERSIN,23-FEB-2017,155.60
13-JAN-2017,FUTSTK,ENGINERSIN,30-MAR-2017,156.55
13-JAN-2017,FUTSTK,EXIDEIND,25-JAN-2017,182.60
13-JAN-2017,FUTSTK,EXIDEIND,23-FEB-2017,183.35
13-JAN-2017,FUTSTK,EXIDEIND,30-MAR-2017,184.60
13-JAN-2017,FUTSTK,FEDERALBNK,25-JAN-2017,72.85
13-JAN-2017,FUTSTK,FEDERALBNK,23-FEB-2017,73.10
13-JAN-2017,FUTSTK,FEDERALBNK,30-MAR-2017,73.60
13-JAN-2017,FUTSTK,GAIL,25-JAN-2017,452.35
13-JAN-2017,FUTSTK,GAIL,23-FEB-2017,446.50
13-JAN-2017,FUTSTK,GAIL,30-MAR-2017,458.60
13-JAN-2017,FUTSTK,GLENMARK,25-JAN-2017,895.60
13-JAN-2017,FUTSTK,GLENMARK,23-FEB-2017,898.30
13-JAN-2017,FUTSTK,GLENMARK,30-MAR-2017,906.95
13-JAN-2017,FUTSTK,GMRINFRA,25-JAN-2017,12.60
13-JAN-2017,FUTSTK,GMRINFRA,23-FEB-2017,12.65
13-JAN-2017,FUTSTK,GMRINFRA,30-MAR-2017,12.75
13-JAN-2017,FUTSTK,GODREJCP,25-JAN-2017,1572.60
13-JAN-2017,FUTSTK,GODREJCP,23-FEB-2017,1578.85
13-JAN-2017,FUTSTK,GODREJCP,30-MAR-2017,1588.95
13-JAN-2017,FUTSTK,GODREJIND,25-JAN-2017,441.70
13-JAN-2017,FUTSTK,GODREJIND,23-FEB-2017,444.15
13-JAN-2017,FUTSTK,GODREJIND,30-MAR-2017,446.95
13-JAN-2017,FUTSTK,GRANULES,25-JAN-2017,104.65
13-JAN-2017,FUTSTK,GRANULES,23-FEB-2017,104.90
13-JAN-2017,FUTSTK,GRANULES,30-MAR-2017,105.75
13-JAN-2017,FUTSTK,GRASIM,25-JAN-2017,846.95
13-JAN-2017,FUTSTK,GRASIM,23-FEB-2017,853.15
13-JAN-2017,FUTSTK,GRASIM,30-MAR-2017,857.85
13-JAN-2017,FUTSTK,HAVELLS,25-JAN-2017,373.20
13-JAN-2017,FUTSTK,HAVELLS,23-FEB-2017,373.40
13-JAN-2017,FUTSTK,HAVELLS,30-MAR-2017,376.80
13-JAN-2017,FUTSTK,HCLTECH,25-JAN-2017,848.90
13-JAN-2017,FUTSTK,HCLTECH,23-FEB-2017,846.90
13-JAN-2017,FUTSTK,HCLTECH,30-MAR-2017,862.10
13-JAN-2017,FUTSTK,HDFC,25-JAN-2017,1247.95
13-JAN-2017,FUTSTK,HDFC,23-FEB-2017,1253.75
13-JAN-2017,FUTSTK,HDFC,30-MAR-2017,1264.90
13-JAN-2017,FUTSTK,HDFCBANK,25-JAN-2017,1237.20
13-JAN-2017,FUTSTK,HDFCBANK,23-FEB-2017,1242.10
13-JAN-2017,FUTSTK,HDFCBANK,30-MAR-2017,1249.70
13-JAN-2017,FUTSTK,HDIL,25-JAN-2017,62.70
13-JAN-2017,FUTSTK,HDIL,23-FEB-2017,62.90
13-JAN-2017,FUTSTK,HDIL,30-MAR-2017,63.50
13-JAN-2017,FUTSTK,HEROMOTOCO,25-JAN-2017,3057.65
13-JAN-2017,FUTSTK,HEROMOTOCO,23-FEB-2017,3070.05
13-JAN-2017,FUTSTK,HEROMOTOCO,30-MAR-2017,3089.05
13-JAN-2017,FUTSTK,HEXAWARE,25-JAN-2017,201.00
13-JAN-2017,FUTSTK,HEXAWARE,23-FEB-2017,200.60
13-JAN-2017,FUTSTK,HEXAWARE,30-MAR-2017,203.30
13-JAN-2017,FUTSTK,HINDALCO,25-JAN-2017,173.00
13-JAN-2017,FUTSTK,HINDALCO,23-FEB-2017,173.55
13-JAN-2017,FUTSTK,HINDALCO,30-MAR-2017,172.95
13-JAN-2017,FUTSTK,HINDPETRO,25-JAN-2017,486.55
13-JAN-2017,FUTSTK,HINDPETRO,23-FEB-2017,474.70
13-JAN-2017,FUTSTK,HINDPETRO,30-MAR-2017,495.75
13-JAN-2017,FUTSTK,HINDUNILVR,25-JAN-2017,831.20
13-JAN-2017,FUTSTK,HINDUNILVR,23-FEB-2017,835.15
13-JAN-2017,FUTSTK,HINDUNILVR,30-MAR-2017,839.50
13-JAN-2017,FUTSTK,HINDZINC,25-JAN-2017,278.45
13-JAN-2017,FUTSTK,HINDZINC,23-FEB-2017,278.80
13-JAN-2017,FUTSTK,HINDZINC,30-MAR-2017,281.50
13-JAN-2017,FUTSTK,IBREALEST,25-JAN-2017,79.00
13-JAN-2017,FUTSTK,IBREALEST,23-FEB-2017,79.55
13-JAN-2017,FUTSTK,IBREALEST,30-MAR-2017,80.00
13-JAN-2017,FUTSTK,IBULHSGFIN,25-JAN-2017,748.95
13-JAN-2017,FUTSTK,IBULHSGFIN,23-FEB-2017,745.20
13-JAN-2017,FUTSTK,IBULHSGFIN,30-MAR-2017,758.90
13-JAN-2017,FUTSTK,ICICIBANK,25-JAN-2017,268.10
13-JAN-2017,FUTSTK,ICICIBANK,23-FEB-2017,269.10
13-JAN-2017,FUTSTK,ICICIBANK,30-MAR-2017,271.80
